Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,Attend.,Capacity,Attendence
"Thu, Nov 2, 2017",8:00p,Golden State Warriors,112,San Antonio Spurs,92,18418,18935,0.97
"Fri, Nov 3, 2017",7:30p,Houston Rockets,119,Atlanta Hawks,104,14087,16739,0.84
"Fri, Nov 3, 2017",8:30p,New Orleans Pelicans,99,Dallas Mavericks,94,19894,20394,0.98
"Fri, Nov 3, 2017",9:00p,Miami Heat,94,Denver Nuggets,95,15317,20103,0.76
"Fri, Nov 3, 2017",7:00p,Milwaukee Bucks,96,Detroit Pistons,105,17207,20491,0.84
"Fri, Nov 3, 2017",10:30p,Brooklyn Nets,112,Los Angeles Lakers,124,18997,18997,1.00
"Fri, Nov 3, 2017",7:30p,Phoenix Suns,107,New York Knicks,120,19404,19812,0.98
"Fri, Nov 3, 2017",9:30p,Boston Celtics,101,Oklahoma City Thunder,94,18203,18203,1.00
"Fri, Nov 3, 2017",7:00p,Chicago Bulls,105,Orlando Magic,83,19171,19171,1.00
"Fri, Nov 3, 2017",7:00p,Indiana Pacers,110,Philadelphia 76ers,121,20668,20848,0.99
"Fri, Nov 3, 2017",8:30p,Charlotte Hornets,101,San Antonio Spurs,108,18418,18935,0.97
"Fri, Nov 3, 2017",9:00p,Toronto Raptors,109,Utah Jazz,100,16258,18306,0.89
"Fri, Nov 3, 2017",7:00p,Cleveland Cavaliers,130,Washington Wizards,122,20356,20356,1.00
"Sat, Nov 4, 2017",8:00p,New Orleans Pelicans,96,Chicago Bulls,90,21254,22983,0.92
"Sat, Nov 4, 2017",9:00p,Golden State Warriors,127,Denver Nuggets,108,19711,20103,0.98
"Sat, Nov 4, 2017",7:00p,Sacramento Kings,99,Detroit Pistons,108,17683,20491,0.86
"Sat, Nov 4, 2017",3:30p,Memphis Grizzlies,113,Los Angeles Clippers,104,14777,19430,0.76
"Sat, Nov 4, 2017",8:00p,Dallas Mavericks,99,Minnesota Timberwolves,112,16837,18978,0.89
"Sun, Nov 5, 2017",3:00p,Atlanta Hawks,117,Cleveland Cavaliers,115,20562,20562,1.00
"Sun, Nov 5, 2017",7:00p,Utah Jazz,110,Houston Rockets,137,16914,18476,0.92
"Sun, Nov 5, 2017",3:30p,Miami Heat,104,Los Angeles Clippers,101,15676,19430,0.81
"Sun, Nov 5, 2017",9:30p,Memphis Grizzlies,102,Los Angeles Lakers,107,18997,18997,1.00
"Sun, Nov 5, 2017",8:00p,Charlotte Hornets,94,Minnesota Timberwolves,112,14124,18978,0.74
"Sun, Nov 5, 2017",7:30p,Indiana Pacers,101,New York Knicks,108,17889,19812,0.90
"Sun, Nov 5, 2017",6:00p,Boston Celtics,104,Orlando Magic,88,17731,19171,0.92
"Sun, Nov 5, 2017",9:00p,Oklahoma City Thunder,99,Portland Trail Blazers,103,19393,20186,0.96
"Sun, Nov 5, 2017",7:00p,Phoenix Suns,95,San Antonio Spurs,112,18038,18935,0.95
"Sun, Nov 5, 2017",6:00p,Washington Wizards,107,Toronto Raptors,96,19800,20131,0.98
"Mon, Nov 6, 2017",7:30p,Boston Celtics,110,Atlanta Hawks,107,13215,16739,0.79
"Mon, Nov 6, 2017",10:30p,Miami Heat,80,Golden State Warriors,97,19596,19596,1.00
"Mon, Nov 6, 2017",9:00p,Brooklyn Nets,98,Phoenix Suns,92,15905,18055,0.88
"Tue, Nov 7, 2017",7:00p,Milwaukee Bucks,119,Cleveland Cavaliers,124,20562,20562,1.00
"Tue, Nov 7, 2017",9:00p,Brooklyn Nets,104,Denver Nuggets,112,14058,20103,0.70
"Tue, Nov 7, 2017",7:00p,New Orleans Pelicans,117,Indiana Pacers,112,15014,17923,0.84
"Tue, Nov 7, 2017",7:30p,Charlotte Hornets,113,New York Knicks,118,18704,19812,0.94
"Tue, Nov 7, 2017",10:00p,Memphis Grizzlies,98,Portland Trail Blazers,97,18692,20186,0.93
"Tue, Nov 7, 2017",10:00p,Oklahoma City Thunder,86,Sacramento Kings,94,17583,17583,1.00
"Tue, Nov 7, 2017",8:30p,Los Angeles Clippers,107,San Antonio Spurs,120,18418,18935,0.97
"Tue, Nov 7, 2017",7:30p,Chicago Bulls,114,Toronto Raptors,119,19800,20131,0.98
"Tue, Nov 7, 2017",9:00p,Philadelphia 76ers,104,Utah Jazz,97,16063,18306,0.88
"Tue, Nov 7, 2017",7:00p,Dallas Mavericks,113,Washington Wizards,99,14505,20356,0.71
"Wed, Nov 8, 2017",8:00p,Los Angeles Lakers,96,Boston Celtics,107,18624,18624,1.00
"Wed, Nov 8, 2017",7:00p,Indiana Pacers,97,Detroit Pistons,114,14407,20491,0.70
"Wed, Nov 8, 2017",10:30p,Minnesota Timberwolves,101,Golden State Warriors,125,19596,19596,1.00
"Wed, Nov 8, 2017",7:00p,New York Knicks,99,Orlando Magic,112,18803,19171,0.98
"Wed, Nov 8, 2017",9:00p,Miami Heat,126,Phoenix Suns,115,16500,18055,0.91
"Thu, Nov 9, 2017",10:30p,Oklahoma City Thunder,94,Denver Nuggets,102,19520,20103,0.97
"Thu, Nov 9, 2017",8:00p,Cleveland Cavaliers,113,Houston Rockets,117,18055,18476,0.98
"Thu, Nov 9, 2017",10:00p,Philadelphia 76ers,108,Sacramento Kings,109,17583,17583,1.00
"Thu, Nov 9, 2017",7:30p,New Orleans Pelicans,118,Toronto Raptors,122,19800,20131,0.98
"Thu, Nov 9, 2017",7:00p,Los Angeles Lakers,95,Washington Wizards,111,20356,20356,1.00
"Fri, Nov 10, 2017",7:30p,Charlotte Hornets,87,Boston Celtics,90,18624,18624,1.00
"Fri, Nov 10, 2017",8:00p,Indiana Pacers,105,Chicago Bulls,87,22416,22983,0.98
"Fri, Nov 10, 2017",7:00p,Atlanta Hawks,104,Detroit Pistons,111,16687,20491,0.81
"Fri, Nov 10, 2017",9:00p,Los Angeles Clippers,111,Oklahoma City Thunder,120,18203,18203,1.00
"Fri, Nov 10, 2017",9:00p,Orlando Magic,128,Phoenix Suns,112,16507,18055,0.91
"Fri, Nov 10, 2017",10:00p,Brooklyn Nets,101,Portland Trail Blazers,97,19393,20186,0.96
"Fri, Nov 10, 2017",9:00p,Milwaukee Bucks,94,San Antonio Spurs,87,18418,18935,0.97
"Fri, Nov 10, 2017",9:00p,Miami Heat,84,Utah Jazz,74,18306,18306,1.00
"Sat, Nov 11, 2017",8:30p,Cleveland Cavaliers,111,Dallas Mavericks,104,20378,20394,1.00
"Sat, Nov 11, 2017",9:00p,Orlando Magic,107,Denver Nuggets,125,16688,20103,0.83
"Sat, Nov 11, 2017",8:30p,Philadelphia 76ers,114,Golden State Warriors,135,19596,19596,1.00
"Sat, Nov 11, 2017",8:00p,Memphis Grizzlies,96,Houston Rockets,111,18055,18476,0.98
"Sat, Nov 11, 2017",8:30p,Los Angeles Lakers,90,Milwaukee Bucks,98,18717,18717,1.00
"Sat, Nov 11, 2017",7:00p,Los Angeles Clippers,103,New Orleans Pelicans,111,17624,18573,0.95
"Sat, Nov 11, 2017",8:00p,Sacramento Kings,91,New York Knicks,118,19812,19812,1.00
"Sat, Nov 11, 2017",9:00p,Minnesota Timberwolves,110,Phoenix Suns,118,16910,18055,0.94
"Sat, Nov 11, 2017",8:30p,Chicago Bulls,94,San Antonio Spurs,133,18418,18935,0.97
"Sat, Nov 11, 2017",9:00p,Brooklyn Nets,106,Utah Jazz,114,17413,18306,0.95
"Sat, Nov 11, 2017",7:00p,Atlanta Hawks,94,Washington Wizards,113,17260,20356,0.85
"Sun, Nov 12, 2017",3:30p,Toronto Raptors,94,Boston Celtics,95,18624,18624,1.00
"Sun, Nov 12, 2017",4:00p,Miami Heat,103,Detroit Pistons,112,16236,20491,0.79
